id,title,difficulty,level,topic,platform,statement,description,input_format,output_format,constraints,sample_input,sample_output,sample_explanation,time_limit_ms,memory_limit_mb,submissions,acceptance_rate,updated_at,kind,family
P04082,Longest Common Subsequence - Hard #146952,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04082.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,22 1 20 24 18 12,97,Use DP to track optimum state. (problem P04082),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04083,Coin Change - Minimum Coins - Hard #146988,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 188 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04083.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
17",3,Use unbounded knapsack DP. (problem P04083),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04084,House Robber DP - Hard #147024,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [25, 49, 73, 97, 21, 45, 69, 93, 17, 41, 65, 89, 13, 37, 61, 85, 9, 33, 57], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04084.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
23 14 3 29 13 18 1 28",98,Pick non-adjacent houses. (problem P04084),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04085,Fibonacci Number - Hard #147060,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04085.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,14,377,Use iterative DP. (problem P04085),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04086,0/1 Knapsack Problem - Hard #147096,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04086.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,21 19 15 20 4 13,92,Use DP to track optimum state. (problem P04086),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04087,Longest Common Subsequence - Hard #147132,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04087.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,24 10 11 10 9 24,88,Use DP to track optimum state. (problem P04087),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04088,Coin Change - Minimum Coins - Hard #147168,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 168 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04088.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
13",3,Use unbounded knapsack DP. (problem P04088),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04089,House Robber DP - Hard #147204,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69, 73, 77], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04089.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
5 19 9 10 23 25 16 10",64,Pick non-adjacent houses. (problem P04089),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04090,Fibonacci Number - Hard #147240,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04090.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,9,34,Use iterative DP. (problem P04090),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04091,0/1 Knapsack Problem - Hard #147276,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04091.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,7 5 2 5 20 8,47,Use DP to track optimum state. (problem P04091),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04092,Longest Common Subsequence - Hard #147312,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04092.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,4 13 14 14 16 20,81,Use DP to track optimum state. (problem P04092),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04093,Coin Change - Minimum Coins - Hard #147348,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 148 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04093.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
17",3,Use unbounded knapsack DP. (problem P04093),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04094,House Robber DP - Hard #147384,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [85, 69, 53, 37, 21, 5, 89, 73, 57, 41, 25, 9, 93, 77, 61, 45, 29, 13, 97], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04094.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
5 17 29 16 28 3 15 19",81,Pick non-adjacent houses. (problem P04094),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04095,Fibonacci Number - Hard #147420,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04095.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,15,610,Use iterative DP. (problem P04095),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04096,0/1 Knapsack Problem - Hard #147456,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04096.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,21 18 6 6 12 21,84,Use DP to track optimum state. (problem P04096),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04097,Longest Common Subsequence - Hard #147492,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04097.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,2 19 14 6 24 21,86,Use DP to track optimum state. (problem P04097),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04098,Coin Change - Minimum Coins - Hard #147528,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 128 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04098.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
30",3,Use unbounded knapsack DP. (problem P04098),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04099,House Robber DP - Hard #147564,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [65, 29, 93, 57, 21, 85, 49, 13, 77, 41, 5, 69, 33, 97, 61, 25, 89, 53, 17], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04099.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
28 17 8 13 21 23 2 16",80,Pick non-adjacent houses. (problem P04099),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04100,Fibonacci Number - Hard #147600,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04100.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,13,233,Use iterative DP. (problem P04100),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04101,0/1 Knapsack Problem - Hard #147636,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04101.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,7 21 6 9 15 9,67,Use DP to track optimum state. (problem P04101),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04102,Longest Common Subsequence - Hard #147672,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04102.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,24 23 13 1 2 11,74,Use DP to track optimum state. (problem P04102),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04103,Coin Change - Minimum Coins - Hard #147708,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 108 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04103.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
13",3,Use unbounded knapsack DP. (problem P04103),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04104,House Robber DP - Hard #147744,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [45, 89, 33, 77, 21, 65, 9, 53, 97, 41, 85, 29, 73, 17, 61, 5, 49, 93, 37], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04104.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
13 5 21 11 8 23 17 13",70,Pick non-adjacent houses. (problem P04104),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04105,Fibonacci Number - Hard #147780,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04105.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,15,610,Use iterative DP. (problem P04105),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04106,0/1 Knapsack Problem - Hard #147816,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04106.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,6 2 16 18 3 3,48,Use DP to track optimum state. (problem P04106),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04107,Longest Common Subsequence - Hard #147852,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04107.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,2 16 1 11 2 16,48,Use DP to track optimum state. (problem P04107),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04108,Coin Change - Minimum Coins - Hard #147888,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 188 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04108.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
24",4,Use unbounded knapsack DP. (problem P04108),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04109,House Robber DP - Hard #147924,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [25, 49, 73, 97, 21, 45, 69, 93, 17, 41, 65, 89, 13, 37, 61, 85, 9, 33, 57], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04109.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
1 3 2 15 28 20 16 3",47,Pick non-adjacent houses. (problem P04109),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04110,Fibonacci Number - Hard #147960,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04110.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,12,144,Use iterative DP. (problem P04110),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04111,0/1 Knapsack Problem - Hard #147996,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04111.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,1 21 25 2 4 1,54,Use DP to track optimum state. (problem P04111),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04112,Longest Common Subsequence - Hard #148032,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04112.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,9 12 5 3 1 25,55,Use DP to track optimum state. (problem P04112),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04113,Coin Change - Minimum Coins - Hard #148068,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 168 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04113.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
17",3,Use unbounded knapsack DP. (problem P04113),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04114,House Robber DP - Hard #148104,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69, 73, 77], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04114.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
25 28 30 7 1 27 18 15",97,Pick non-adjacent houses. (problem P04114),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04115,Fibonacci Number - Hard #148140,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04115.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,8,21,Use iterative DP. (problem P04115),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04116,0/1 Knapsack Problem - Hard #148176,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04116.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,15 12 23 13 21 19,103,Use DP to track optimum state. (problem P04116),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04117,Longest Common Subsequence - Hard #148212,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04117.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,13 20 6 4 2 8,53,Use DP to track optimum state. (problem P04117),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04118,Coin Change - Minimum Coins - Hard #148248,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 148 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04118.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
13",3,Use unbounded knapsack DP. (problem P04118),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04119,House Robber DP - Hard #148284,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [85, 69, 53, 37, 21, 5, 89, 73, 57, 41, 25, 9, 93, 77, 61, 45, 29, 13, 97], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04119.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
29 18 12 27 11 19 5 19",94,Pick non-adjacent houses. (problem P04119),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04120,Fibonacci Number - Hard #148320,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04120.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,11,89,Use iterative DP. (problem P04120),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04121,0/1 Knapsack Problem - Hard #148356,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04121.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,11 4 9 19 18 12,73,Use DP to track optimum state. (problem P04121),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04122,Longest Common Subsequence - Hard #148392,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04122.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,25 12 13 2 6 14,72,Use DP to track optimum state. (problem P04122),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04123,Coin Change - Minimum Coins - Hard #148428,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 128 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04123.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
26",4,Use unbounded knapsack DP. (problem P04123),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04124,House Robber DP - Hard #148464,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [65, 29, 93, 57, 21, 85, 49, 13, 77, 41, 5, 69, 33, 97, 61, 25, 89, 53, 17], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04124.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
3 25 20 15 8 8 19 21",69,Pick non-adjacent houses. (problem P04124),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04125,Fibonacci Number - Hard #148500,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04125.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,14,377,Use iterative DP. (problem P04125),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04126,0/1 Knapsack Problem - Hard #148536,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04126.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,12 13 15 11 6 13,70,Use DP to track optimum state. (problem P04126),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04127,Longest Common Subsequence - Hard #148572,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04127.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,2 7 22 2 8 17,58,Use DP to track optimum state. (problem P04127),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04128,Coin Change - Minimum Coins - Hard #148608,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 108 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04128.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
28",5,Use unbounded knapsack DP. (problem P04128),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04129,House Robber DP - Hard #148644,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [45, 89, 33, 77, 21, 65, 9, 53, 97, 41, 85, 29, 73, 17, 61, 5, 49, 93, 37], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04129.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
13 14 13 12 12 26 2 15",67,Pick non-adjacent houses. (problem P04129),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04130,Fibonacci Number - Hard #148680,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04130.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,15,610,Use iterative DP. (problem P04130),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04131,0/1 Knapsack Problem - Hard #148716,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04131.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,14 15 16 24 15 15,99,Use DP to track optimum state. (problem P04131),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04132,Longest Common Subsequence - Hard #148752,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04132.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,6 16 12 25 9 16,84,Use DP to track optimum state. (problem P04132),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04133,Coin Change - Minimum Coins - Hard #148788,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 188 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04133.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
18",4,Use unbounded knapsack DP. (problem P04133),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04134,House Robber DP - Hard #148824,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [25, 49, 73, 97, 21, 45, 69, 93, 17, 41, 65, 89, 13, 37, 61, 85, 9, 33, 57], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04134.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
7 4 27 26 15 29 3 25",88,Pick non-adjacent houses. (problem P04134),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04135,Fibonacci Number - Hard #148860,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04135.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,6,8,Use iterative DP. (problem P04135),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04136,0/1 Knapsack Problem - Hard #148896,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04136.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,6 18 17 18 14 23,96,Use DP to track optimum state. (problem P04136),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04137,Longest Common Subsequence - Hard #148932,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04137.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,13 1 22 5 18 19,78,Use DP to track optimum state. (problem P04137),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04138,Coin Change - Minimum Coins - Hard #148968,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 168 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04138.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
11",2,Use unbounded knapsack DP. (problem P04138),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04139,House Robber DP - Hard #149004,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [5, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69, 73, 77], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04139.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
17 5 23 16 16 19 15 3",71,Pick non-adjacent houses. (problem P04139),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04140,Fibonacci Number - Hard #149040,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,Find the 30th Fibonacci number using dynamic programming.,Practice dynamic programming: fibonacci. Unique hard variant for P04140.,A single value or line.,Print the 30th Fibonacci number.,Follow problem-specific limits.,13,233,Use iterative DP. (problem P04140),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04141,0/1 Knapsack Problem - Hard #149076,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 10 items with weights and values, and a knapsack of capacity 100, find the maximum value that fits.",Practice dynamic programming: knapsack. Unique hard variant for P04141.,Multiple lines as specified.,Print the maximum value achievable.,Follow problem-specific limits.,1 11 16 6 5 20,59,Use DP to track optimum state. (problem P04141),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04142,Longest Common Subsequence - Hard #149112,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given two strings, find the length of their longest common subsequence (LCS).",Practice dynamic programming: lcs. Unique hard variant for P04142.,Multiple lines as specified.,Print the length of LCS.,Follow problem-specific limits.,4 24 22 24 15 8,97,Use DP to track optimum state. (problem P04142),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04143,Coin Change - Minimum Coins - Hard #149148,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given a target amount 148 and coins [1, 2, 5, 10], find the minimum number of coins needed.",Practice dynamic programming: coin change. Unique hard variant for P04143.,A single value or line.,Print the minimum number of coins.,Follow problem-specific limits.,"[1, 2, 5, 10]
30",3,Use unbounded knapsack DP. (problem P04143),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
P04144,House Robber DP - Hard #149184,Hard,Advanced,"[""Dynamic Programming""]",CodingStar,"Given 19 houses with money [85, 69, 53, 37, 21, 5, 89, 73, 57, 41, 25, 9, 93, 77, 61, 45, 29, 13, 97], you cannot rob adjacent houses. Find the maximum money.",Practice dynamic programming: house robber. Unique hard variant for P04144.,Multiple lines as specified.,Print the maximum money that can be robbed.,Follow problem-specific limits.,"8
13 24 4 20 5 21 9 10",75,Pick non-adjacent houses. (problem P04144),2000,256,0,,2026-05-21T12:12:20Z,algorithm,dp
